dignity,pity,candidate,result
2.373183032,1.779887274,Andy Beshear,Winner
1.536885246,6.147540984,Andy Beshear,Winner
3.346346905,2.509760178,Andy Beshear,Winner
2.895752896,0,Andy Beshear,Winner
3.167898627,4.223864836,Athony Brown,Loser
2.84958274,1.628332994,Athony Brown,Loser
3.496503497,4.495504496,Charlie Baker,Winner
2.956081081,1.689189189,Charlie Baker,Winner
1.566170713,1.370399374,Charlie Baker,Winner
8.928571429,0,Charlie Baker,Winner
0.8287292818,0.5524861878,Kris Kobach,Loser
0.9225092251,1.2300123,Kris Kobach,Loser
0,9.708737864,Larry Hogan,Winner
0.6042296073,2.819738167,Larry Hogan,Winner
1.207729469,2.012882448,Laura Kelly,Winner
0,2.435460302,Laura Kelly,Winner
9.283819629,5.968169761,Martha Coakley,Loser
1.937448104,3.874896208,Martha Coakley,Loser
3.401360544,4.373177843,Martha Coakley,Loser
10.20408163,0,Martha Coakley,Loser
3.243243243,0,Matt Bevin,Loser
0.9195402299,0.6896551724,Matt Bevin,Loser
1.510574018,0,Matt Bevin,Loser
1.009166597,0.3363888655,Matt Bevin,Loser
2.929329916,2.196997437,Phil Scott,Winner
3.293084523,3.841931943,Sue Minter,Loser